date,code,name,volume,open,high,low,close,source_asset,cumulative_factor,adj_open,adj_high,adj_low,adj_close,adj_qa
20180918,4916,事欣科,348305,33.30,33.30,32.80,32.85,yearly_2018.zip,0.8024337148,26.721043,26.721043,26.319826,26.359948,OK
20180919,4916,事欣科,130200,33.05,33.25,33.00,33.00,yearly_2018.zip,0.8024337148,26.520434,26.680921,26.480313,26.480313,OK
20180920,4916,事欣科,145421,33.35,33.35,32.70,32.75,yearly_2018.zip,0.8024337148,26.761164,26.761164,26.239582,26.279704,OK
20180921,4916,事欣科,186600,33.00,33.20,32.60,32.85,yearly_2018.zip,0.8024337148,26.480313,26.640799,26.159339,26.359948,OK
20180925,4916,事欣科,134637,33.00,33.35,32.90,33.30,yearly_2018.zip,0.8024337148,26.480313,26.761164,26.400069,26.721043,OK
20180926,4916,事欣科,106700,33.50,33.50,33.20,33.25,yearly_2018.zip,0.8024337148,26.881529,26.881529,26.640799,26.680921,OK
20180927,4916,事欣科,167500,33.25,33.45,33.20,33.25,yearly_2018.zip,0.8024337148,26.680921,26.841408,26.640799,26.680921,OK
20180928,4916,事欣科,161299,33.05,33.25,33.00,33.05,yearly_2018.zip,0.8024337148,26.520434,26.680921,26.480313,26.520434,OK
20181001,4916,事欣科,162200,33.00,33.25,32.85,33.20,yearly_2018.zip,0.8024337148,26.480313,26.680921,26.359948,26.640799,OK
20181002,4916,事欣科,104200,33.10,33.20,33.00,33.00,yearly_2018.zip,0.8024337148,26.560556,26.640799,26.480313,26.480313,OK
20181003,4916,事欣科,446023,33.20,33.95,33.20,33.40,yearly_2018.zip,0.8024337148,26.640799,27.242625,26.640799,26.801286,OK
20181004,4916,事欣科,185528,33.40,33.40,32.80,33.00,yearly_2018.zip,0.8024337148,26.801286,26.801286,26.319826,26.480313,OK
20181005,4916,事欣科,719400,32.95,32.95,30.55,31.05,yearly_2018.zip,0.8024337148,26.440191,26.440191,24.514350,24.915567,OK
20181008,4916,事欣科,324727,30.60,31.75,30.60,31.30,yearly_2018.zip,0.8024337148,24.554472,25.477270,24.554472,25.116175,OK
20181009,4916,事欣科,204228,31.40,31.50,30.85,30.95,yearly_2018.zip,0.8024337148,25.196419,25.276662,24.755080,24.835323,OK
20181011,4916,事欣科,1323249,27.90,28.90,27.90,27.90,yearly_2018.zip,0.8024337148,22.387901,23.190334,22.387901,22.387901,OK
20181012,4916,事欣科,394300,27.90,28.70,27.25,28.30,yearly_2018.zip,0.8024337148,22.387901,23.029848,21.866319,22.708874,OK
20181015,4916,事欣科,176303,28.30,28.60,28.00,28.15,yearly_2018.zip,0.8024337148,22.708874,22.949604,22.468144,22.588509,OK
20181016,4916,事欣科,260600,27.50,28.40,27.50,28.05,yearly_2018.zip,0.8024337148,22.066927,22.789118,22.066927,22.508266,OK
20181017,4916,事欣科,266478,28.50,28.65,28.05,28.05,yearly_2018.zip,0.8024337148,22.869361,22.989726,22.508266,22.508266,OK
20181018,4916,事欣科,77230,28.00,28.10,27.90,28.10,yearly_2018.zip,0.8024337148,22.468144,22.548387,22.387901,22.548387,OK
20181019,4916,事欣科,502600,27.70,28.20,26.95,27.90,yearly_2018.zip,0.8024337148,22.227414,22.628631,21.625589,22.387901,OK
20181022,4916,事欣科,107604,27.60,28.30,27.40,28.05,yearly_2018.zip,0.8024337148,22.147171,22.708874,21.986684,22.508266,OK
20181023,4916,事欣科,252201,28.05,28.05,27.25,27.90,yearly_2018.zip,0.8024337148,22.508266,22.508266,21.866319,22.387901,OK
20181024,4916,事欣科,241500,27.85,27.85,27.20,27.70,yearly_2018.zip,0.8024337148,22.347779,22.347779,21.826197,22.227414,OK
20181025,4916,事欣科,781276,26.85,26.85,25.80,26.80,yearly_2018.zip,0.8024337148,21.545345,21.545345,20.702790,21.505224,OK
20181026,4916,事欣科,659001,26.90,27.00,25.65,27.00,yearly_2018.zip,0.8024337148,21.585467,21.665710,20.582425,21.665710,OK
20181029,4916,事欣科,215095,26.70,27.20,26.50,26.50,yearly_2018.zip,0.8024337148,21.424980,21.826197,21.264493,21.264493,OK
20181030,4916,事欣科,400806,27.30,27.30,26.70,27.00,yearly_2018.zip,0.8024337148,21.906440,21.906440,21.424980,21.665710,OK
20181031,4916,事欣科,299100,27.25,27.95,27.25,27.90,yearly_2018.zip,0.8024337148,21.866319,22.428022,21.866319,22.387901,OK
20181101,4916,事欣科,271100,28.10,28.60,28.00,28.15,yearly_2018.zip,0.8024337148,22.548387,22.949604,22.468144,22.588509,OK
20181102,4916,事欣科,341600,28.25,28.80,28.25,28.40,yearly_2018.zip,0.8024337148,22.668752,23.110091,22.668752,22.789118,OK
20181105,4916,事欣科,120100,28.10,28.75,28.00,28.15,yearly_2018.zip,0.8024337148,22.548387,23.069969,22.468144,22.588509,OK
20181106,4916,事欣科,326007,28.15,28.95,28.10,28.50,yearly_2018.zip,0.8024337148,22.588509,23.230456,22.548387,22.869361,OK
20181107,4916,事欣科,214500,28.80,29.40,28.50,29.00,yearly_2018.zip,0.8024337148,23.110091,23.591551,22.869361,23.270578,OK
20181108,4916,事欣科,156005,29.05,29.80,28.90,28.90,yearly_2018.zip,0.8024337148,23.310699,23.912525,23.190334,23.190334,OK
20181109,4916,事欣科,162005,28.90,29.00,28.50,28.60,yearly_2018.zip,0.8024337148,23.190334,23.270578,22.869361,22.949604,OK
